feature,frequency,rank,word1,word2,word3,word4
many_of_the,146,79,many,of,the,
a_chance_to,145,81,a,chance,to,
have_to_be,145,81,have,to,be,
we_have_to,144,83,we,have,to,
it_will_be,144,83,it,will,be,
part_of_a,143,85,part,of,a,
to_make_the,142,86,to,make,the,
he_was_a,142,86,he,was,a,
has_been_a,141,88,has,been,a,
in_the_state,141,88,in,the,state,
to_do_with,141,88,to,do,with,
to_get_the,141,88,to,get,the,
member_of_the,140,92,member,of,the,
in_addition_to,139,93,in,addition,to,
said_it_was,139,93,said,it,was,
would_be_a,138,95,would,be,a,
a_number_of,138,95,a,number,of,
to_make_a,137,97,to,make,a,
in_the_world,137,97,in,the,world,
in_the_middle,136,99,in,the,middle,
of_the_new,135,100,of,the,new,
in_the_third,134,101,in,the,third,
it_is_a,134,101,it,is,a,
the_st_louis,133,103,the,st,louis,
in_the_united,133,103,in,the,united,
side_of_the,132,105,side,of,the,
when_he_was,132,105,when,he,was,
was_one_of,132,105,was,one,of,
don't_want_to,132,105,don't,want,to,
i_don't_think,130,109,i,don't,think,
a_year_ago,130,109,a,year,ago,
there_was_a,129,111,there,was,a,
to_make_it,129,111,to,make,it,
in_the_country,129,111,in,the,country,
over_the_past,128,114,over,the,past,
i_don't_know,127,115,i,don't,know,
â_œitâ_s,127,115,â,œitâ,s,
he_said_â,127,115,he,said,â,
the_middle_of,126,118,the,middle,of,
the_white_house,125,119,the,white,house,
in_the_same,125,119,in,the,same,
will_be_the,125,119,will,be,the,
a_series_of,124,122,a,series,of,
much_of_the,124,122,much,of,the,
a_way_to,123,124,a,way,to,
want_to_be,123,124,want,to,be,
in_the_city,122,126,in,the,city,
was_the_first,120,127,was,the,first,
the_city_of,120,127,the,city,of,
and_in_the,120,127,and,in,the,
a.m_to_p.m,119,130,a.m,to,p.m,
the_top_of,118,131,the,top,of,
you_want_to,118,131,you,want,to,
the_first_half,117,133,the,first,half,
the_cost_of,115,134,the,cost,of,
to_be_in,115,134,to,be,in,
when_it_comes,115,134,when,it,comes,
the_federal_government,115,134,the,federal,government,
there_will_be,114,138,there,will,be,
such_as_the,114,138,such,as,the,
to_go_to,113,140,to,go,to,
at_the_university,113,140,at,the,university,
it_comes_to,113,140,it,comes,to,
will_have_to,113,140,will,have,to,
there_was_no,113,140,there,was,no,
in_the_block,112,145,in,the,block,
of_the_state,112,145,of,the,state,
up_in_the,111,147,up,in,the,
to_try_to,111,147,to,try,to,
to_keep_the,111,147,to,keep,the,
would_have_been,110,150,would,have,been,
will_be_a,110,150,will,be,a,
of_the_game,110,150,of,the,game,
going_to_have,109,153,going,to,have,
a_member_of,109,153,a,member,of,
top_of_the,109,153,top,of,the,
in_new_jersey,109,153,in,new,jersey,
at_a_time,109,153,at,a,time,
the_los_angeles,108,158,the,los,angeles,
he_said_i,108,158,he,said,i,
is_not_a,108,158,is,not,a,
up_to_the,108,158,up,to,the,
to_get_a,108,158,to,get,a,
it's_going_to,107,163,it's,going,to,
a_group_of,107,163,a,group,of,
for_more_information,105,165,for,more,information,
the_new_jersey,105,165,the,new,jersey,
in_st_louis,105,165,in,st,louis,
in_the_fourth,105,165,in,the,fourth,
but_it_was,105,165,but,it,was,
that_he_was,105,165,that,he,was,
to_see_the,104,171,to,see,the,
of_the_best,104,171,of,the,best,
the_opportunity_to,103,173,the,opportunity,to,
in_recent_years,103,173,in,recent,years,
we_have_a,103,173,we,have,a,
the_first_round,102,176,the,first,round,
is_in_the,102,176,is,in,the,
we're_going_to,102,176,we're,going,to,
the_kind_of,101,179,the,kind,of,
on_the_road,101,179,on,the,road,
was_in_the,101,179,was,in,the,
as_a_result,100,182,as,a,result,
the_department_of,99,183,the,department,of,
as_long_as,99,183,as,long,as,
over_the_years,99,183,over,the,years,
new_york_city,98,186,new,york,city,
in_order_to,97,187,in,order,to,
the_associated_press,96,188,the,associated,press,
the_second_half,96,188,the,second,half,
at_least_one,96,188,at,least,one,
we_want_to,96,188,we,want,to,
itâ_s_a,95,192,itâ,s,a,
a_long_time,95,192,a,long,time,
of_the_first,95,192,of,the,first,
vice_president_of,95,192,vice,president,of,
in_an_interview,95,192,in,an,interview,
was_able_to,94,197,was,able,to,
over_the_next,94,197,over,the,next,
to_the_public,94,197,to,the,public,
president_barack_obama,94,197,president,barack,obama,
two_years_ago,94,197,two,years,ago,
would_like_to,93,202,would,like,to,
over_the_last,93,202,over,the,last,
would_have_to,92,204,would,have,to,
by_the_end,92,204,by,the,end,
around_the_world,92,204,around,the,world,
in_terms_of,92,204,in,terms,of,
one_of_those,92,204,one,of,those,
to_work_with,91,209,to,work,with,
said_he_would,91,209,said,he,would,
in_the_early,91,209,in,the,early,
to_pay_for,90,212,to,pay,for,
need_to_be,90,212,need,to,be,
of_the_world,90,212,of,the,world,
the_last_two,89,215,the,last,two,
said_of_the,89,215,said,of,the,
will_continue_to,89,215,will,continue,to,
to_do_it,89,215,to,do,it,
on_the_other,89,215,on,the,other,
of_the_day,88,220,of,the,day,
in_the_case,88,220,in,the,case,
are_expected_to,88,220,are,expected,to,
that_it_was,88,220,that,it,was,
in_los_angeles,87,224,in,los,angeles,
a_pair_of,87,224,a,pair,of,
in_the_final,87,224,in,the,final,
half_of_the,87,224,half,of,the,
across_the_country,87,224,across,the,country,
for_the_next,87,224,for,the,next,
a_variety_of,87,224,a,variety,of,
in_the_future,87,224,in,the,future,
contributed_to_this,87,224,contributed,to,this,
is_scheduled_to,86,233,is,scheduled,to,
to_take_a,86,233,to,take,a,
the_amount_of,85,235,the,amount,of,
away_from_the,85,235,away,from,the,
you_need_to,85,235,you,need,to,
by_the_time,84,238,by,the,time,
and_his_wife,84,238,and,his,wife,
the_state_of,84,238,the,state,of,
in_the_area,84,238,in,the,area,
front_of_the,84,238,front,of,the,
about_percent_of,84,238,about,percent,of,
as_far_as,84,238,as,far,as,
the_start_of,84,238,the,start,of,
the_back_of,83,246,the,back,of,
the_bottom_of,83,246,the,bottom,of,
in_his_first,82,248,in,his,first,
he_had_a,82,248,he,had,a,
executive_director_of,82,248,executive,director,of,
â_she_said,82,248,â,she,said,
it_is_not,82,248,it,is,not,
and_a_half,82,248,and,a,half,
hall_of_fame,82,248,hall,of,fame,
because_of_a,81,255,because,of,a,
they_want_to,81,255,they,want,to,
going_to_get,81,255,going,to,get,
who_has_been,81,255,who,has,been,
said_he_had,81,255,said,he,had,
a_total_of,80,260,a,total,of,
years_in_prison,80,260,years,in,prison,
based_on_the,80,260,based,on,the,
the_past_two,80,260,the,past,two,
more_than_years,79,264,more,than,years,
to_take_the,79,264,to,take,the,
that_he_had,79,264,that,he,had,
and_that_the,79,264,and,that,the,
look_at_the,79,264,look,at,the,
as_one_of,79,264,as,one,of,
to_be_able,79,264,to,be,able,
go_to_the,79,264,go,to,the,
it_has_been,79,264,it,has,been,
to_the_state,78,273,to,the,state,
of_the_u.s,78,273,of,the,u.s,
i_donâ_t,78,273,i,donâ,t,
chairman_of_the,78,273,chairman,of,the,
the_stateâ_s,78,273,the,stateâ,s,
to_the_u.s,78,273,to,the,u.s,
a_spokesman_for,78,273,a,spokesman,for,
has_not_been,78,273,has,not,been,
earlier_this_year,77,281,earlier,this,year,
the_third_quarter,77,281,the,third,quarter,
i_wanted_to,77,281,i,wanted,to,
in_the_game,77,281,in,the,game,
the_ability_to,77,281,the,ability,to,
the_regular_season,77,281,the,regular,season,
to_have_to,76,287,to,have,to,
st_louis_county,76,287,st,louis,county,
one_of_his,76,287,one,of,his,
that_would_be,76,287,that,would,be,
on_the_field,76,287,on,the,field,
to_do_the,76,287,to,do,the,
expected_to_be,76,287,expected,to,be,
on_top_of,76,287,on,top,of,
the_right_to,76,287,the,right,to,
spokesman_for_the,76,287,spokesman,for,the,
i_think_the,76,287,i,think,the,
involved_in_the,75,298,involved,in,the,
it_is_the,75,298,it,is,the,
a_little_more,75,298,a,little,more,
the_first_quarter,75,298,the,first,quarter,
he_has_been,75,298,he,has,been,
to_create_a,74,303,to,create,a,
a_part_of,74,303,a,part,of,
an_average_of,74,303,an,average,of,
are_in_the,74,303,are,in,the,
i'm_going_to,74,303,i'm,going,to,
the_company_said,73,308,the,company,said,
a_time_when,73,308,a,time,when,
be_in_the,73,308,be,in,the,
he_was_the,73,308,he,was,the,
parts_of_the,73,308,parts,of,the,
at_one_point,73,308,at,one,point,
a_bit_of,73,308,a,bit,of,
in_a_row,72,315,in,a,row,
earlier_this_month,72,315,earlier,this,month,
of_the_national,72,315,of,the,national,
the_idea_of,72,315,the,idea,of,
in_san_francisco,72,315,in,san,francisco,
middle_of_the,72,315,middle,of,the,
the_size_of,72,315,the,size,of,
at_this_point,72,315,at,this,point,
up_with_a,72,315,up,with,a,
said_she_was,72,315,said,she,was,
declined_to_comment,72,315,declined,to,comment,
is_on_the,72,315,is,on,the,
to_find_a,72,315,to,find,a,
been_able_to,72,315,been,able,to,
will_be_held,71,329,will,be,held,
and_i_think,71,329,and,i,think,
will_not_be,71,329,will,not,be,
is_the_first,71,329,is,the,first,
she_said_she,71,329,she,said,she,
could_have_been,71,329,could,have,been,
day_of_the,71,329,day,of,the,
a_lot_more,71,329,a,lot,more,
going_to_do,71,329,going,to,do,
to_get_to,71,329,to,get,to,
a_few_years,70,339,a,few,years,
this_year_the,70,339,this,year,the,
a_result_of,70,339,a,result,of,
known_as_the,70,339,known,as,the,
to_have_the,70,339,to,have,the,
lot_of_people,70,339,lot,of,people,
i_think_it's,70,339,i,think,it's,
out_in_the,70,339,out,in,the,
well_as_the,70,339,well,as,the,
at_least_a,69,348,at,least,a,
return_to_the,69,348,return,to,the,
to_deal_with,69,348,to,deal,with,
when_i_was,69,348,when,i,was,
of_the_house,69,348,of,the,house,
come_up_with,69,348,come,up,with,
she_said_the,69,348,she,said,the,
all_over_the,69,348,all,over,the,
role_in_the,68,356,role,in,the,
have_been_a,68,356,have,been,a,
from_a.m_to,68,356,from,a.m,to,
for_yards_and,68,356,for,yards,and,
a_handful_of,68,356,a,handful,of,
â_œiâ_m,68,356,â,œiâ,m,
the_best_of,68,356,the,best,of,
millions_of_dollars,68,356,millions,of,dollars,
was_on_the,68,356,was,on,the,
said_in_an,68,356,said,in,an,
and_it_was,68,356,and,it,was,
the_people_who,68,356,the,people,who,
was_charged_with,67,368,was,charged,with,
i_have_to,67,368,i,have,to,
the_most_important,67,368,the,most,important,
is_that_the,67,368,is,that,the,
to_win_the,67,368,to,win,the,
all_the_time,67,368,all,the,time,
a_matter_of,67,368,a,matter,of,
to_see_if,67,368,to,see,if,
went_to_the,67,368,went,to,the,
you're_going_to,67,368,you're,going,to,
don't_have_to,67,368,don't,have,to,
in_the_end,66,379,in,the,end,
in_favor_of,66,379,in,favor,of,
gov_chris_christie,66,379,gov,chris,christie,
he_did_not,66,379,he,did,not,
more_than_two,66,379,more,than,two,
there_are_no,66,379,there,are,no,
head_of_the,66,379,head,of,the,
is_trying_to,66,379,is,trying,to,
in_the_back,66,379,in,the,back,
needs_to_be,66,379,needs,to,be,
of_more_than,66,379,of,more,than,
there_have_been,66,379,there,have,been,
you_have_a,66,379,you,have,a,
to_figure_out,65,392,to,figure,out,
in_the_fall,65,392,in,the,fall,
the_beginning_of,65,392,the,beginning,of,
it's_hard_to,65,392,it's,hard,to,
want_to_do,65,392,want,to,do,
two_of_the,65,392,two,of,the,
the_importance_of,65,392,the,importance,of,
he_wanted_to,64,399,he,wanted,to,
last_year_and,64,399,last,year,and,
had_to_be,64,399,had,to,be,
of_new_jersey,64,399,of,new,jersey,
the_fourth_quarter,64,399,the,fourth,quarter,
and_one_of,64,399,and,one,of,
was_born_in,64,399,was,born,in,
said_that_the,63,406,said,that,the,
may_not_be,63,406,may,not,be,
i_have_a,63,406,i,have,a,
the_time_of,63,406,the,time,of,
the_use_of,63,406,the,use,of,
as_soon_as,63,406,as,soon,as,
is_part_of,63,406,is,part,of,
to_look_at,63,406,to,look,at,
early_in_the,63,406,early,in,the,
any_of_the,63,406,any,of,the,
back_in_the,63,406,back,in,the,
i_don't_want,63,406,i,don't,want,
points_in_the,63,406,points,in,the,
to_this_report,63,406,to,this,report,
up_with_the,63,406,up,with,the,
at_the_top,63,406,at,the,top,
first_time_in,62,422,first,time,in,
said_he_is,62,422,said,he,is,
said_he_has,62,422,said,he,has,
in_the_process,62,422,in,the,process,
in_the_air,62,422,in,the,air,
the_board_of,62,422,the,board,of,
less_than_a,62,422,less,than,a,
this_is_not,62,422,this,is,not,
for_the_past,62,422,for,the,past,
place_in_the,62,422,place,in,the,
to_use_the,62,422,to,use,the,
late_in_the,62,422,late,in,the,
that_it_is,61,434,that,it,is,
may_have_been,61,434,may,have,been,
more_of_a,61,434,more,of,a,
of_the_city,61,434,of,the,city,
has_to_be,61,434,has,to,be,
will_be_able,61,434,will,be,able,
said_â_œi,61,434,said,â,œi,
he_said_it,61,434,he,said,it,
to_build_a,61,434,to,build,a,
if_you_don't,61,434,if,you,don't,
grew_up_in,61,434,grew,up,in,
to_do_so,61,434,to,do,so,
that_will_be,60,446,that,will,be,
in_the_top,60,446,in,the,top,
for_the_second,60,446,for,the,second,
have_to_do,60,446,have,to,do,
the_death_of,60,446,the,death,of,
the_majority_of,60,446,the,majority,of,
he_and_his,60,446,he,and,his,
high_school_in,60,446,high,school,in,
seems_to_be,60,446,seems,to,be,
in_which_he,59,455,in,which,he,
in_which_the,59,455,in,which,the,
close_to_the,59,455,close,to,the,
you've_got_to,59,455,you've,got,to,
the_supreme_court,59,455,the,supreme,court,
first_time_since,59,455,first,time,since,
points_and_rebounds,59,455,points,and,rebounds,
looking_for_a,59,455,looking,for,a,
but_it_is,59,455,but,it,is,
he_is_a,59,455,he,is,a,
it_to_the,59,455,it,to,the,
in_the_next,59,455,in,the,next,
i_had_to,59,455,i,had,to,
he_has_a,59,455,he,has,a,
for_those_who,58,469,for,those,who,
in_the_league,58,469,in,the,league,
to_focus_on,58,469,to,focus,on,
appears_to_be,58,469,appears,to,be,
in_one_of,58,469,in,one,of,
left_in_the,58,469,left,in,the,
has_been_the,58,469,has,been,the,
last_year_the,58,469,last,year,the,
that_we_have,58,469,that,we,have,
to_the_new,58,469,to,the,new,
the_heart_of,58,469,the,heart,of,
that_was_a,58,469,that,was,a,
that_is_the,58,469,that,is,the,
bottom_of_the,58,469,bottom,of,the,
trying_to_get,58,469,trying,to,get,
that_would_have,58,469,that,would,have,
in_the_new,58,469,in,the,new,
to_talk_about,58,469,to,talk,about,
the_san_francisco,58,469,the,san,francisco,
people_in_the,58,469,people,in,the,
in_response_to,58,469,in,response,to,
that_was_the,58,469,that,was,the,
the_first_of,57,491,the,first,of,
i_think_it,57,491,i,think,it,
is_a_good,57,491,is,a,good,
the_plain_dealer,57,491,the,plain,dealer,
the_center_of,57,491,the,center,of,
that_it_would,57,491,that,it,would,
to_return_to,57,491,to,return,to,
and_there_are,57,491,and,there,are,
would_be_the,57,491,would,be,the,
the_second_round,57,491,the,second,round,
back_to_back,57,491,back,to,back,
of_st_louis,57,491,of,st,louis,
could_not_be,57,491,could,not,be,
in_the_playoffs,57,491,in,the,playoffs,
is_the_only,56,505,is,the,only,
new_york_and,56,505,new,york,and,
than_a_year,56,505,than,a,year,
didn't_want_to,56,505,didn't,want,to,
people_who_are,56,505,people,who,are,
to_be_more,56,505,to,be,more,
i_think_we,56,505,i,think,we,
the_city_council,56,505,the,city,council,
do_you_think,56,505,do,you,think,
of_new_york,56,505,of,new,york,
as_many_as,55,515,as,many,as,
in_exchange_for,55,515,in,exchange,for,
all_the_way,55,515,all,the,way,
to_continue_to,55,515,to,continue,to,
likely_to_be,55,515,likely,to,be,
in_the_face,55,515,in,the,face,
he_wants_to,55,515,he,wants,to,
to_become_a,55,515,to,become,a,
it_can_be,55,515,it,can,be,
we_had_a,55,515,we,had,a,
in_the_house,55,515,in,the,house,
on_the_ground,55,515,on,the,ground,
went_on_to,55,515,went,on,to,
but_in_the,55,515,but,in,the,
state_of_the,55,515,state,of,the,
have_a_lot,55,515,have,a,lot,
game_of_the,54,531,game,of,the,
the_way_to,54,531,the,way,to,
up_on_the,54,531,up,on,the,
an_opportunity_to,54,531,an,opportunity,to,
he_was_in,54,531,he,was,in,
million_a_year,54,531,million,a,year,
them_in_the,54,531,them,in,the,
has_become_a,54,531,has,become,a,
along_with_the,54,531,along,with,the,
to_the_city,54,531,to,the,city,
s_going_to,54,531,s,going,to,
and_the_other,54,531,and,the,other,
if_you_want,54,531,if,you,want,
returned_to_the,54,531,returned,to,the,
each_of_the,54,531,each,of,the,
is_not_the,54,531,is,not,the,
a_sense_of,54,531,a,sense,of,
the_story_of,54,531,the,story,of,
a_news_conference,54,531,a,news,conference,
be_the_first,54,531,be,the,first,
said_i_think,53,551,said,i,think,
the_lack_of,53,551,the,lack,of,
world_war_ii,53,551,world,war,ii,
more_than_percent,53,551,more,than,percent,
were_able_to,53,551,were,able,to,
would_not_be,53,551,would,not,be,
to_see_a,53,551,to,see,a,
for_a_new,53,551,for,a,new,
up_and_down,53,551,up,and,down,
well_as_a,53,551,well,as,a,
for_the_last,53,551,for,the,last,
was_the_only,53,551,was,the,only,
on_the_floor,53,551,on,the,floor,
of_a_new,53,551,of,a,new,
of_thousands_of,53,551,of,thousands,of,
more_likely_to,53,551,more,likely,to,
to_do_that,53,551,to,do,that,
the_cityâ_s,53,551,the,cityâ,s,
at_least_two,52,569,at,least,two,
the_first_two,52,569,the,first,two,
it_should_be,52,569,it,should,be,
more_than_people,52,569,more,than,people,
i_feel_like,52,569,i,feel,like,
the_second_time,52,569,the,second,time,
said_it_is,52,569,said,it,is,
to_start_the,52,569,to,start,the,
he_said_that,52,569,he,said,that,
that_kind_of,52,569,that,kind,of,
was_a_little,52,569,was,a,little,
of_the_people,52,569,of,the,people,
the_obama_administration,52,569,the,obama,administration,
has_yet_to,52,569,has,yet,to,
from_to_p.m,52,569,from,to,p.m,
up_for_the,52,569,up,for,the,
to_say_that,52,569,to,say,that,
said_in_the,52,569,said,in,the,
of_one_of,52,569,of,one,of,
the_chance_to,52,569,the,chance,to,
a_list_of,52,569,a,list,of,
the_last_time,52,569,the,last,time,
they_have_a,52,569,they,have,a,
but_he_said,52,569,but,he,said,
been_in_the,52,569,been,in,the,
in_charge_of,52,569,in,charge,of,
for_at_least,51,595,for,at,least,
can_be_a,51,595,can,be,a,
an_e_mail,51,595,an,e,mail,
more_than_the,51,595,more,than,the,
be_part_of,51,595,be,part,of,
that_have_been,51,595,that,have,been,
the_right_thing,51,595,the,right,thing,
itâ_s_not,51,595,itâ,s,not,
deal_with_the,51,595,deal,with,the,
is_a_great,51,595,is,a,great,
of_people_who,51,595,of,people,who,
and_will_be,51,595,and,will,be,
it_in_the,51,595,it,in,the,
pleaded_guilty_to,51,595,pleaded,guilty,to,
out_of_a,51,595,out,of,a,
of_the_american,51,595,of,the,american,
to_give_the,51,595,to,give,the,
and_her_husband,51,595,and,her,husband,
time_in_the,51,595,time,in,the,
no_matter_how,51,595,no,matter,how,
out_to_be,51,595,out,to,be,
player_of_the,51,595,player,of,the,
in_the_late,51,595,in,the,late,
that_could_be,51,595,that,could,be,
it_would_have,50,619,it,would,have,
the_course_of,50,619,the,course,of,
the_head_of,50,619,the,head,of,
of_the_last,50,619,of,the,last,
i_had_a,50,619,i,had,a,
being_able_to,50,619,being,able,to,
earlier_in_the,50,619,earlier,in,the,
there_are_a,50,619,there,are,a,
across_the_state,50,619,across,the,state,
the_possibility_of,50,619,the,possibility,of,
of_the_nation's,50,619,of,the,nation's,
looking_forward_to,50,619,looking,forward,to,
and_he_was,50,619,and,he,was,
if_you_have,50,619,if,you,have,
of_all_the,50,619,of,all,the,
was_trying_to,50,619,was,trying,to,
in_the_nfl,50,619,in,the,nfl,
they_have_to,50,619,they,have,to,
it_was_just,50,619,it,was,just,
the_name_of,50,619,the,name,of,
of_the_top,50,619,of,the,top,
the_super_bowl,49,640,the,super,bowl,
to_a_new,49,640,to,a,new,
an_effort_to,49,640,an,effort,to,
goal_is_to,49,640,goal,is,to,
on_the_way,49,640,on,the,way,
the_risk_of,49,640,the,risk,of,
for_a_while,49,640,for,a,while,
more_than_half,49,640,more,than,half,
for_the_state,49,640,for,the,state,
at_some_point,49,640,at,some,point,
three_years_ago,49,640,three,years,ago,
in_the_way,49,640,in,the,way,
said_they_were,49,640,said,they,were,
in_the_right,49,640,in,the,right,
start_of_the,49,640,start,of,the,
and_at_the,49,640,and,at,the,
was_a_good,49,640,was,a,good,
to_find_out,49,640,to,find,out,
by_the_way,49,640,by,the,way,
in_a_way,49,640,in,a,way,
for_a_few,49,640,for,a,few,
u.s_department_of,49,640,u.s,department,of,
to_percent_of,49,640,to,percent,of,
get_out_of,48,663,get,out,of,
by_the_state,48,663,by,the,state,
there's_a_lot,48,663,there's,a,lot,
and_has_been,48,663,and,has,been,
time_of_the,48,663,time,of,the,
loss_to_the,48,663,loss,to,the,
year_old_daughter,48,663,year,old,daughter,
of_the_same,48,663,of,the,same,
for_the_city,48,663,for,the,city,
a_man_who,48,663,a,man,who,
re_going_to,48,663,re,going,to,
the_next_day,48,663,the,next,day,
many_of_them,48,663,many,of,them,
a_lot_to,48,663,a,lot,to,
it_could_be,48,663,it,could,be,
are_on_the,48,663,are,on,the,
but_there_are,48,663,but,there,are,
on_behalf_of,48,663,on,behalf,of,
â_œi_think,48,663,â,œi,think,
make_sure_that,48,663,make,sure,that,
on_the_new,48,663,on,the,new,
a_piece_of,48,663,a,piece,of,
in_a_small,48,663,in,a,small,
you_don't_have,48,663,you,don't,have,
the_state_department,48,663,the,state,department,
and_i_was,48,663,and,i,was,
they_need_to,48,663,they,need,to,
should_have_been,48,663,should,have,been,
the_other_hand,48,663,the,other,hand,
the_quality_of,48,663,the,quality,of,
him_in_the,48,663,him,in,the,
to_get_out,47,694,to,get,out,
in_the_summer,47,694,in,the,summer,
the_loss_of,47,694,the,loss,of,
with_more_than,47,694,with,more,than,
this_year_and,47,694,this,year,and,
that_can_be,47,694,that,can,be,
for_him_to,47,694,for,him,to,
number_of_people,47,694,number,of,people,
he_said_but,47,694,he,said,but,
portion_of_the,47,694,portion,of,the,
at_the_scene,47,694,at,the,scene,
the_city_and,47,694,the,city,and,
in_the_nation,47,694,in,the,nation,
he_said_it's,47,694,he,said,it's,
st_louis_and,47,694,st,louis,and,
want_to_make,47,694,want,to,make,
i_think_that,47,694,i,think,that,
that_has_been,47,694,that,has,been,
to_put_the,47,694,to,put,the,
the_first_three,47,694,the,first,three,
familiar_with_the,47,694,familiar,with,the,
used_to_be,47,694,used,to,be,
oil_and_gas,47,694,oil,and,gas,
said_it_would,46,717,said,it,would,
that_they_are,46,717,that,they,are,
donâ_t_know,46,717,donâ,t,know,
of_the_two,46,717,of,the,two,
what_to_do,46,717,what,to,do,
in_the_big,46,717,in,the,big,
but_it's_not,46,717,but,it's,not,
the_last_years,46,717,the,last,years,
are_trying_to,46,717,are,trying,to,
could_be_a,46,717,could,be,a,
there_were_no,46,717,there,were,no,
is_the_best,46,717,is,the,best,
that_he_is,46,717,that,he,is,
board_of_education,46,717,board,of,education,
â_œthis_is,46,717,â,œthis,is,
be_a_good,46,717,be,a,good,
the_same_thing,46,717,the,same,thing,
he_said_and,46,717,he,said,and,
none_of_the,46,717,none,of,the,
when_it_was,46,717,when,it,was,
what_do_you,46,717,what,do,you,
who_had_been,46,717,who,had,been,
we_wanted_to,46,717,we,wanted,to,
will_take_place,46,717,will,take,place,
the_value_of,46,717,the,value,of,
one_of_them,46,717,one,of,them,
the_company_has,46,717,the,company,has,
for_all_the,46,717,for,all,the,
a_trip_to,46,717,a,trip,to,
the_state_and,46,717,the,state,and,
to_go_out,46,717,to,go,out,
might_have_been,45,748,might,have,been,
supposed_to_be,45,748,supposed,to,be,
the_past_year,45,748,the,past,year,
